"Url","Status","ContentType","ContentLength","Error"
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock1-a3-landscape-natural.jpg","200","image/jpeg","370095",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock2-a3-landscape-natural.jpg","200","image/jpeg","493999",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/hero-a3-landscape-natural.jpg","200","image/jpeg","491656",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock1-a3-landscape-white.jpg","200","image/jpeg","367929",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock2-a3-landscape-white.jpg","200","image/jpeg","485817",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/hero-a3-landscape-white.jpg","200","image/jpeg","413802",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock1-a4-landscape-black.jpg","200","image/jpeg","342028",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock2-a4-landscape-black.jpg","200","image/jpeg","452983",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/hero-a4-landscape-black.jpg","200","image/jpeg","409232",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock1-a4-landscape-natural.jpg","200","image/jpeg","348036",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock2-a4-landscape-natural.jpg","200","image/jpeg","461599",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/hero-a4-landscape-natural.jpg","200","image/jpeg","543111",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock1-a4-landscape-white.jpg","200","image/jpeg","342863",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock2-a4-landscape-white.jpg","200","image/jpeg","454967",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/hero-a4-landscape-white.jpg","200","image/jpeg","422182",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/gre/hero.jpg","200","image/jpeg","762906",""
"https://photos.studiotj.com/shop/details/gre/fine-art-greetings-card-with-kraft-envelope.webp","200","image/webp","223034",""
"https://photos.studiotj.com/shop/details/papers/hahnemuhle-german-etching.jpg","200","image/jpeg","348237",""
"https://photos.studiotj.com/shop/details/papers/hahnemuhle-photo-rag.jpg","200","image/jpeg","311453",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/pos/hero.jpg","200","image/jpeg","290185",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/pos/mock1.jpg","200","image/jpeg","301692",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/pos/mock2.jpg","200","image/jpeg","206896",""
"https://photos.studiotj.com/shop/details/pos/fine-art-postcards.jpg","200","image/jpeg","385610",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68/papers/mock1-16x20.jpg","200","image/jpeg","472702",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68/papers/mock2-16x20.jpg","200","image/jpeg","372579",""
"https://photos.studiotj.com/2025-05-22-LeidenPolderpark/2025-05-22-LeidenPolderpark (68)-hero.webp","200","image/webp","71104",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68/papers/hero-16x20.jpg","200","image/jpeg","258219",""
"https://photos.studiotj.com/shop/details/papers/lustre-photo-paper.jpg","200","image/jpeg","230017",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68/papers/mock1-24x36.jpg","200","image/jpeg","530159",""
