product_id,family,collection,variant_size,margin_pct,price_cents,base_eu_eur,base_us_usd,revenue_usd_at_fx,us_cost_usd,gross_margin_usd,status
photo-atmospheric-leiden-068-hge-a5,hge,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-068-hge-24x36,hge,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-068-hge-a4,hge,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-068-hge-a3,hge,the-atmospheric-collection,a3,50,1800,12,16,21.087,16,5.087,OK
photo-atmospheric-leiden-068-hpr-16x20,hpr,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-068-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-068-hpr-24x36,hpr,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-068-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-068-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-074-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-074-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-074-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-074-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,9,9,26.3588,9,17.3588,OK
photo-atmospheric-leiden-074-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,17,17,49.7888,17,32.7888,OK
photo-atmospheric-leiden-074-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,9,15,17.924,15,2.924,EROSION
photo-atmospheric-leiden-074-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-074-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,18,22,35.8479,22,13.8479,OK
photo-atmospheric-leiden-074-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
photo-atmospheric-leiden-074-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-074-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-074-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-074-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
