product_id,family,collection,variant_size,margin_pct,price_cents,cost_basis_currency,base_eu_costbasis,base_uk_costbasis,base_us_costbasis_converted,base_au_costbasis_converted,revenue_costbasis,eu_margin_costbasis,us_margin_costbasis,au_margin_costbasis,us_eu_ratio,uk_diverges_from_eu,status_us
photo-atmospheric-leiden-068-can-40x30,can,the-atmospheric-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,GBP,9.0,9.0,,,22.5,13.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,GBP,17.0,17.0,,,42.5,25.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,GBP,9.0,9.0,11.1,,15.3,6.300000000000001,4.200000000000001,,1.233,no,OK
photo-atmospheric-leiden-068-ema-a5,ema,the-atmospheric-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-atmospheric-leiden-068-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,GBP,18.0,18.0,16.28,,30.6,12.600000000000001,14.32,,0.904,no,OK
photo-atmospheric-leiden-068-ema-a4,ema,the-atmospheric-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-atmospheric-leiden-068-ema-a3,ema,the-atmospheric-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-atmospheric-leiden-068-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
